WT,ST,GFP,SpT
-21.115929,877.053284,8939.201172,864.096375
170.687759,742.717163,6805.875488,279.161835
38.718124,625.898621,8443.332031,401.233765
49.674904,610.908203,3794.266113,313.459625
38.236389,42.560093,1720.65979,-40.912319
-60.042786,3211.481201,14125.70215,1919.962158
-2.694688,43.571819,251.18486,68.027397
-27.514698,738.106995,7138.547363,754.235474
7.687965,312.917786,1852.297363,79.110458
-75.238274,686.842834,15671.60547,539.271973
251.912231,448.567291,34068.58984,109.908913
-2034.83252,4753.194336,276468.625,1306.639893
36.661369,469.444977,7968.916992,310.053802
-91.52356,500.841339,9041.027344,646.511292
84.478676,373.882965,5414.200195,225.123306
298.928192,1153.549316,10269.33496,-12.519853
105.224075,1297.049683,6294.195312,526.236694
10.484886,710.461853,9137.485352,329.928711
797.000977,3254.189697,23562.27539,799.580627
1762.30603,2374.175049,40214.94531,-608.625061
208.715103,338.117157,7565.618652,-183.050781
202.471497,97.387009,1349.225708,72.892807
48.618332,60.363472,2338.104248,-58.398499
20.352713,201.900864,3294.369873,146.451691
-148.742279,2299.929199,38597.33203,2658.197021
373.487732,776.288208,13247.85938,41.965096
109.028107,1820.670166,11846.00781,851.898621
-38.371208,444.61618,8780.609375,438.500854
49.020027,1083.915283,16873.55859,741.712891
678.070312,2291.388184,25613.10938,1137.272217
-160.866196,4721.453125,25329.73828,1802.086304
113.468491,848.846619,9805.645508,519.513306
153.591003,699.651611,3585.827148,501.086792
37.938286,349.727905,6706.458984,241.862015
371.491333,1441.504272,20250.28125,884.130737
-36.496136,210.585556,3258.562744,149.826431
131.253601,635.064209,8297.232422,63.128216
49.939507,499.350067,4767.833008,341.32901
102.825203,769.608459,5952.822266,431.598267
-55.958153,1019.106445,8599.460938,624.763611
21.526306,311.383423,2411.447021,175.609818
140.300125,69.940018,663.975525,22.925676
113.149643,347.612732,5167.345703,88.476807
-67.093369,1195.862305,12162.37207,1125.187866
530.160645,716.395081,20450.83398,648.40509
65.110229,413.10257,3303.467529,84.87571
-6.089203,1254.049438,14892.19824,1022.194458
202.388748,373.743988,3964.355469,44.196476
51.1604,1143.314331,17895.67773,783.070679
