WT1,GFP
39.129673,65.1875
87.806587,127.042969
124.115273,55.525391
63.724987,47.922852
62.774506,29.321533
32.891796,85.859863
80.986031,66.657715
104.436455,34.619629
112.465614,54.470215
63.017017,38.407349
39.619171,22.365967
33.066235,31.527344
47.274723,80.341675
13.967202,122.827393
36.897316,32.325073
32.087894,93.338379
86.262886,97.10376
75.241211,75.759399
61.441078,16.228638
32.904221,22.237305
81.145302,50.49707
10.017989,55.207764
30.946556,163.383057
108.925896,51.751099
30.512611,47.449585
55.883873,109.084961
57.595116,100.832031
122.446251,166.675293
68.151863,187.850586
39.900688,1.425781
15.612576,12.185547
32.221783,14.976318
66.146957,84.60498
62.575459,67.151123
62.175156,10.496338
20.652239,60.037231
89.546608,22.700317
119.807632,121.741455
141.259567,99.372559
107.437889,54.993652
36.06459,46.447632
70.542763,55.331055
31.122633,37.359131
5.338966,34.114746
73.548851,21.072266
62.236694,52.138672
103.895782,82.906372
49.027718,56.57666
9.613957,14.407593
45.604561,61.307617
96.310249,60.220337
16.117733,63.545776
75.448692,128.578613
71.448875,51.126465
32.676147,69.30542
108.425758,29.959717
74.449768,17.324707
87.601555,20.858582
199.128433,89.333008
59.552032,115.0271
7.353368,65.062866
36.376255,5.01886
33.557499,24.692139
55.359066,224.417725
2.731727,45.698364
60.934078,83.041748
23.291351,58.50293
42.306667,25.549561
72.909508,121.828125
13.307386,59.22876
87.663399,46.587158
5.885685,72.946289
66.968063,129.675293
19.136526,91.089111
53.208042,58.746338
14.30071,35.976074
51.2589,89.45459
48.12196,28.657532
2.200331,51.894897
108.667519,48.904114
66.901054,25.837769
11.873149,109.992065
72.261894,58.900391
91.439751,18.506714
19.850159,81.105347
12.010019,73.751404
87.868004,72.048828
84.684967,77.982422
105.293236,139.95752
13.680561,4.781372
45.22438,40.018188
25.013809,24.62146
46.563442,54.556274
72.875801,120.37738
43.397869,52.137085
7.540717,42.037354
19.193415,29.558044
12.82944,33.375977
55.405182,39.534912
17.073664,86.671021
55.94025,23.984375
3.614144,24.130127
28.917488,28.150574
4.090812,12.258789
9.678199,47.869629
30.701542,89.31897
8.884774,85.672363
102.440422,25.831543
33.640797,86.950562
111.207863,67.333252
37.639065,63.663086
38.87566,114.395508
116.425751,112.405273
128.538437,51.901855
11.17757,46.511719
60.162922,2.712891
108.738121,27.394775
63.827484,52.063293
72.923843,3.953613
33.716339,4.194336
45.978508,6.40918
73.940178,50.275879
53.056606,43.666382
133.575333,109.074707
60.859138,4.962524
7.83264,69.271118
34.653107,50.888428
48.905685,124.841309
126.366417,52.735962
27.348198,22.675537
85.269051,103.059082
20.231424,64.966187
92.454216,30.918091
105.10511,50.266846
2.80982,35.505981
66.891037,44.119507
42.686596,54.789307
44.482231,33.370056
42.362793,54.665527
51.67424,75.57312
6.712153,65.538574
33.915165,22.258301
138.472061,31.362549
105.436417,30.239868
46.685062,143.574097
94.556122,53.458008
55.735611,65.044922
54.505482,35.050903
37.418442,96.025146
17.343779,61.600098
28.761135,32.365112
11.872786,28.222168
195.353683,61.638672
41.099556,69.852905
53.592491,144.911621
41.162579,50.835938
29.539942,26.8125
56.083557,30.04834
75.381866,63.548828
68.82933,32.672241
58.315208,30.288574
47.567467,36.061035
3.269296,145.225586
11.804049,9.681152
146.896149,29.081787
85.065544,93.487549
61.977055,38.482544
93.861832,36.205444
73.377289,63.156494
128.585266,24.428833
22.081795,2.600586
67.276382,76.593262
128.335098,52.448608
12.538473,21.507446
28.77249,55.881348
52.033504,105.294922
35.480736,5.583618
67.544113,103.327148
127.817032,47.896729
