ST1,GFP,SpT1
546.66748,5017.816406,447.359558
610.444275,29920.19141,975.968994
111.905869,2373.946533,81.862473
2740.602295,19246.05078,2407.418457
2157.011719,29865.75781,561.736633
1130.898315,27181.00781,3962.404053
1059.545044,20849.23438,2218.112305
2141.559082,14619.11133,4407.891113
175.647644,2216.784668,135.585175
1322.140991,166433.9063,4117.817383
5859.236328,103370.8906,10758.25293
1580.141113,35913.48828,2517.878418
311.870667,2117.669922,237.910873
593.899353,6553.608398,850.702515
671.031311,7051.054688,185.8582
2259.799561,179299.2969,9564.102539
2220.466797,314190.6563,5400.481934
742.354858,8817.391602,246.969696
1495.360229,246581.2344,5048.875
1022.084534,17088.66406,1993.103027
1160.874512,140864.0313,5472.232422
426.839874,68573.58594,728.134888
1304.388672,29429.5918,3812.506836
211.968613,30868.91016,601.144775
219.226654,10160.38281,170.176285
1041.010742,13135.02344,317.173309
1620.407227,89379.03906,1841.259399
1104.474731,35394.79297,2594.220703
1856.072876,19641.35742,2307.877686
1775.826416,41866.10938,1667.206787
2682.304932,28972.94531,4247.590332
1554.707764,37639.73828,648.243286
529.505127,5459.688477,339.541779
1411.321167,65658.40625,3808.797119
2540.311523,19634.35352,1959.605347
1190.336304,46999.42188,1781.11377
2179.786133,112752.2813,9375.958984
3822.888428,64983.11719,3003.287109
22.357504,3711.210205,26.43718
614.513184,53479.44531,1870.729248
1083.128906,286807.4688,5899.408203
1256.113403,149787.3281,2421.343018
235.333313,32617.09766,679.976685
1691.52832,43760.06641,1952.800415
4800.970703,153452.8125,13424.0293
1167.03125,127488.75,1659.977783
1808.092285,27555.71094,922.811951
2683.731445,131176.7188,2274.661133
482.618011,61010.05859,2083.254395
1102.5271,67022.85156,1551.005981
1883.09729,36349.5,1474.482422
3016.402588,70790.11719,5901.783691
453.262085,22590.5957,226.870972
1700.167603,113168.7578,2836.460205
1885.01709,35004.22656,1903.116943
586.84668,42018.65625,363.122864
11.136368,134.887573,72.80484
1085.699341,11865.77246,46.535065
541.799805,40509.64063,1028.660645
1617.688721,182703.1094,5933.723145
1873.886963,168917.5313,5464.400879
249.285736,16804.21094,803.610291
2330.344971,26516.28125,471.248108
2849.097168,102138.8125,6530.679199
4250.697754,139676.8281,5424.478516
5333.219727,64326.23828,6703.928711
252.655991,6758.390625,351.292053
1716.920898,69520.78125,3134.666016
241.948898,5667.986816,138.212494
98.660858,442.216064,144.598328
734.209351,50216.97656,690.360413
327.967316,4211.780762,520.728516
674.40625,7973.005859,436.143005
740.428833,32916.99219,604.326538
2066.526123,10193.88379,2149.69751
1773.49231,57053.38281,3510.798096
690.121094,123928.8672,975.16571
2644.478027,136376.4375,2548.958008
2035.519531,36217.26953,2241.991699
235.174072,34961.59766,952.763123
838.189819,103560.8906,343.889099
390.025787,276703.125,6144.135742
4469.90625,33567.17188,3189.174805
450.575562,21205.79297,236.214081
533.580566,105225.5469,782.982361
938.440735,103888.5469,2980.724121
1210.944824,103981.1328,1663.98938
1077.362305,458475.125,13095.52637
2833.524414,206809.9844,3626.79126
1474.772095,57962.17969,6269.170898
1902.424927,49067.13281,4837.395508
2282.152344,19470.70703,1695.731445
105.018028,36861.35547,1113.21814
8226.571289,80907.39063,5575.48291
676.249878,12007.29004,633.922791
2944.877197,85456.41406,1966.911865
1385.71521,30434.08594,1537.715454
3791.188477,39401.45703,1759.721924
857.373474,24664.54492,1030.357178
5174.897461,122331.8047,8222.016602
4810.351562,71249.50781,8278.702148
582.158936,199118.2031,3409.416504
459.094757,62303.94531,1583.194336
362.120331,269187.9688,5736.949219
707.112183,75078.53906,1442.767334
1915.197876,29093.77539,1297.256592
270.08374,2825.761963,193.567963
4004.350098,147335.2813,4272.758789
1003.351013,12398.08594,726.588989
2171.499512,124479.3906,2624.739014
141.794708,230138.6719,2358.649414
4113.70459,24252.58789,2960.761719
3287.424072,156459.7188,2219.357178
1177.252563,43113.61719,653.713806
555.84436,12293.23828,90.251877
2933.247314,94973.79688,10479.87402
216.711563,3872.658691,296.969543
2451.89624,45794.65625,4676.790039
1193.155762,101998.6797,2588.537842
40.476902,2669.577881,151.349045
1022.225159,57845.98438,3877.86499
1627.219727,41266.36328,2193.424072
290.707001,10340.49805,968.248413
1422.951172,25289.49219,1535.89917
708.368652,73204.0625,1272.137573
880.518494,46228.98047,776.68811
1355.43335,29949.16406,1336.353882
3413.280762,50697.59375,910.421021
2190.462402,284040.1875,5977.056641
950.764282,275928.0313,8104.359375
2214.016846,49828.45313,3693.458008
1161.433594,143050.4375,3173.462402
586.005615,11639.86133,698.131287
3975.898438,38805.42188,565.457458
874.808105,27751.60547,823.54425
1319.833984,92847.4375,1504.860718
2011.579956,64456.90625,3024.852783
1297.566528,36305.40234,2426.757812
1860.769897,72034.53906,6112.137695
1943.646484,56332.55078,4018.659668
1949.953857,98211.57031,1399.31189
621.666809,31504.37695,982.831238
4427.827148,55426.72656,2560.993164
2481.55127,27320.9707,323.432037
2185.219971,147845.4844,7298.065918
840.62793,17077.71094,180.249817
3089.185791,34757.51563,2889.925537
5074.737793,66906.75,6460.505859
1600.527222,83845.07813,6187.939941
1297.833496,252897.0313,4223.688477
2114.607178,21071.30078,1055.349243
3897.050781,16906.25391,2545.667725
6342.822754,267837.0625,21762.21289
206.443024,85273.65625,931.164124
1644.420288,58253.41797,5521.811523
4867.926758,234615.3594,1541.257446
1415.190796,15066.72266,845.760376
2814.922852,118385.7031,5710.095703
752.357239,15054.6582,1344.571899
977.519531,99134.5,626.363953
178.819763,99195.61719,2698.546875
1197.157227,11577.80566,254.184464
1181.254272,26518.70703,938.267822
2609.534668,267726.7813,5571.525879
91.837204,18544.64063,709.446838
681.071289,12050.51563,1729.896973
607.715393,48090.87109,555.560913
1604.959961,41796.03516,4438.200195
3081.325439,43109.86719,2908.678223
4021.403809,79940.79688,7414.443359
1159.709473,100600.7188,3209.934326
418.299652,18365.31055,442.654602
1017.044983,18254.29297,851.965088
5428.474121,61098.01172,8662.90625
968.406799,69739.70313,9.778214
1343.693359,43477.35938,402.954742
764.78302,264844.9063,4095.609131
803.91449,9398.271484,1833.081299
355.689819,22256.76758,717.359863
2651.152588,52650.58203,7209.776367
6166.529785,57663.60547,20008.04492
163.372467,5468.52002,327.779449
464.975464,14601.55176,991.385132
234.772476,168498.4531,1657.143677
1842.813599,28725.41797,2859.640381
1261.136108,32281.85156,5118.654785
