SpT2,ST1,mCherry
871.216064,534.709473,717.84375
7609.252441,1081.389526,13472.60156
10773.8457,10309.49902,17314.85352
4940.005859,6011.327148,32594.86328
16991.40234,5443.974121,19113.10352
1249.125488,1074.070923,3430.368164
6782.403809,6324.478516,33929.94531
1700.500977,1061.293457,5597.046875
5186.167969,3835.412598,14193.1875
2976.408447,826.731934,9475.660156
11178.60645,3284.540527,28096.20703
2984.399414,2860.541504,8541.689453
12950.89844,1575.929565,17843.13477
11385.66797,2421.490234,54286.94531
5772.958008,1895.134888,6548.061035
25586.58203,16546.5293,45061.48047
6499.041504,6158.438477,38921.33984
5005.87207,2255.707764,13000.35938
13889.74805,11644.37012,32058.4043
19769.08203,15256.78613,46717.30859
8954.575195,7297.019531,18816.48047
13156.51172,10309.39356,49738.28516
649.611572,153.162262,223.16452
2761.115234,2416.908691,16786.8457
7210.431152,10447.69629,6497.614746
5172.382324,1994.684692,8153.300781
1021.109131,658.424561,4985.625977
4291.643066,2449.18457,11289.24512
1500.306885,273.547119,700.70752
20326.33789,10943.20117,44118.46094
6495.114746,3571.494629,6612.463379
2125.499268,480.570557,1226.925049
10308.08691,11772.44531,48735.33984
2034.805542,2531.233398,9592.320312
14038.63184,19769.0625,54307.56641
17232.9082,5900.462402,43024.03906
10693.48633,11012.74316,20923.2793
16998.75586,5466.151855,41092.98047
634.460449,842.751465,2928.517334
4188.666016,4842.829102,14414.00879
7939.787598,6790.01123,28556.72656
575.746521,192.82962,320.283447
2830.697266,817.924011,6309.010254
3799.727539,8509.203125,12490.4834
9667.532227,5559.023926,30275.95508
1089.783813,593.686707,3014.062744
13602.83594,7082.786133,47953.66016
1796.956665,821.572571,9147.072266
12605.20996,5895.086914,6576.836426
1786.00708,1115.254395,3221.980713
680.844055,884.330933,3873.234863
1050.155029,591.888367,1918.255493
2308.387451,1051.53186,11510.52148
17320.42969,6459.376953,59835.73438
403.851013,462.67392,1678.572998
2940.149902,2895.769287,8276.205078
2447.89209,143.439926,10354.9834
16360.56836,7616.241699,34526.26172
3609.377686,3593.931396,19374.63477
2526.460449,1962.957153,6603.026367
7052.496582,7816.884766,22448.62695
2974.122803,2119.134521,5374.561035
1545.69519,1529.123291,8451.362305
4440.065918,1244.462158,2758.900879
1043.623901,169.920517,297.093781
