SpT2,ST1,mCherry
182.626526,95.865463,81.043831
104.562294,112.629456,65.242416
209.960617,26.446945,191.578766
57.617958,112.253937,23.173378
46.384811,28.156387,42.64529
383.884674,49.458008,108.561089
70.652878,6.313959,81.35955
28.29608,71.066551,-39.399918
130.989594,46.284729,89.081253
98.616913,168.997879,102.113823
82.466888,3.432743,60.363468
94.89975,90.533531,165.198563
82.673203,22.077791,43.995651
83.937256,74.570526,104.499962
258.383667,52.435123,270.409424
65.54142,14.880197,50.18396
70.288673,11.412619,79.856377
43.175045,14.900002,35.413078
59.045383,77.247948,86.629196
63.010632,24.658718,66.971504
61.147976,59.769356,81.618126
111.591156,127.629219,150.121323
110.017609,6.113376,157.472534
65.865425,58.586647,31.720467
119.372787,62.791702,304.143982
89.47776,88.919853,83.37468
71.972023,28.298223,57.405251
83.059471,104.852463,92.868973
57.253323,46.151985,80.55687
80.151093,19.820681,111.440231
13.822836,121.285751,58.175217
102.164352,59.175835,56.312168
179.825134,58.937244,106.578644
73.885033,34.079277,73.751389
200.826828,132.139206,109.003502
26.112955,52.949089,4.842307
47.995403,17.10083,67.908722
57.917942,76.581558,132.383774
81.820892,9.755967,75.053673
32.901024,45.703575,4.018011
56.777554,62.595509,20.042324
46.334038,35.799885,33.920708
224.269394,97.58799,143.18129
71.331474,55.186295,72.752846
315.71048,46.631088,152.791168
66.960381,11.562451,179.996033
13.494852,157.026489,118.671738
5.607968,49.295673,34.348301
86.192963,9.610768,59.363937
50.875179,37.13868,7.194412
257.688202,63.555836,54.420704
80.54557,110.896866,106.231476
168.893723,65.343964,79.872406
59.955193,26.019783,78.540092
78.658356,70.211136,79.584442
110.587471,17.130594,98.490181
81.244919,14.783333,80.324677
101.409676,22.818357,72.001465
104.307167,13.904702,233.031769
159.895126,133.217316,127.342972
124.352585,93.158875,81.328766
108.1436,35.978634,131.692551
58.947575,20.966757,24.577715
409.095459,71.68116,378.073395
51.125477,63.727085,105.33876
45.775188,16.85182,79.909416
76.313103,15.652907,49.571964
132.435104,45.62027,192.382797
44.928928,31.014799,36.408672
17.219326,31.336342,54.577824
100.785538,42.133911,113.013329
82.355789,127.796028,141.124283
111.164146,165.241867,115.573547
50.998398,71.266518,56.36454
41.953247,117.840248,20.104223
121.827637,64.131981,112.462181
133.917419,83.26487,104.286545
54.624645,13.299633,11.782608
13.274772,39.707623,128.2444
86.44558,48.297642,54.524044
175.780167,5.489699,75.779266
41.963863,39.866756,43.734745
65.77037,47.391685,109.343773
277.806702,111.696671,-44.743694
163.279419,138.139832,54.063545
30.614529,78.271461,81.277069
395.856567,127.147682,308.181976
64.501396,94.723534,57.593788
63.916191,31.978258,36.425697
31.617287,133.453827,64.360931
99.401031,32.938648,90.567696
384.920258,10.94416,-24.355944
152.086609,30.251606,151.812012
94.140244,3.111673,33.114216
263.214172,71.706573,246.618958
141.995117,17.533611,97.80999
79.798531,3.179938,163.326263
91.734657,142.099594,83.504936
111.920631,171.471069,94.665962
68.648949,103.892059,66.030365
61.02832,21.74934,19.104185
14.400155,11.367436,9.144979
13.643164,75.142258,69.567917
115.361633,40.518261,140.442566
81.916191,5.488997,36.702705
31.140158,5.359447,-34.412003
140.768951,40.284836,113.870941
74.942574,90.632805,86.344986
27.930197,99.518166,58.428143
172.159012,54.428234,137.495087
34.90274,109.719002,68.78289
64.566071,9.66196,71.873215
54.344448,73.179359,150.793884
86.723213,21.261051,38.131157
61.684563,84.910904,58.238338
62.907719,98.889046,50.271332
89.891945,93.587158,87.143234
50.154182,92.346428,98.275864
51.92062,63.971024,88.587402
105.35347,27.412678,96.90696
62.932865,54.565315,12.586374
90.813629,23.802917,58.485043
66.469604,61.149738,145.441772
31.022343,2.681391,147.784378
58.408169,17.312132,85.569984
54.747635,112.805405,49.195438
101.912285,27.043003,133.784164
33.788086,75.063606,56.630535
64.520737,87.627769,122.284309
78.7854,77.686371,103.997665
112.356071,83.272713,69.80117
111.822731,84.68309,69.649605
36.115841,103.212616,-25.527071
69.873077,55.668644,21.704063
140.709381,84.109749,107.953491
113.451729,18.11854,85.299423
65.692787,69.274841,60.71162
39.786331,114.857292,60.406609
150.559555,129.779373,209.95607
79.005692,26.430225,91.635941
37.823292,50.677856,26.001146
247.156189,70.345726,105.108109
72.916306,36.514481,8.447536
204.306351,12.981239,80.299881
419.607391,4.335517,284.991577
151.05159,74.636436,125.898781
183.663834,38.766346,170.969284
60.196442,121.742653,-41.740021
79.280533,59.952545,35.522064
37.220627,152.300095,30.220453
101.121323,46.843727,110.482689
112.957359,76.076286,142.689102
58.180267,6.732458,151.008743
9.018476,43.124401,57.206924
235.045105,1.92045,190.717972
9.435998,101.453682,-3.696495
43.647213,36.247166,20.828339
107.125282,12.975732,127.069221
45.752338,28.590904,47.431793
27.763788,14.620316,107.989952
300.076477,108.458679,206.707581
52.812763,89.841705,61.051674
70.947281,60.945972,159.266022
65.375168,112.810959,108.917831
8.108453,47.113525,99.274986
121.011505,122.796745,62.725834
32.814331,65.573692,65.594994
25.336802,34.203957,82.584183
70.856827,62.253063,-2.211735
10.463609,6.594464,62.194038
186.187988,9.781884,72.262489
102.827011,34.133743,92.073845
75.360802,15.484191,15.433098
62.835018,41.530991,90.217392
771.841125,26.081903,317.15802
47.090607,102.514748,82.402412
89.620338,103.286095,160.662613
106.574516,55.794353,157.791443
87.070366,62.377239,39.429592
321.765228,38.08799,-28.087877
102.128304,80.799843,44.910137
91.553352,46.62825,10.892987
20.977621,108.497574,85.893677
63.96233,68.02874,116.580437
62.223507,14.977094,85.396988
108.674507,59.038326,116.529785
51.985703,10.462246,21.917995
74.136742,38.951897,54.138393
246.596619,21.93243,208.994003
19.039095,24.176212,106.421982
49.433788,37.000992,58.778294
157.577576,24.282684,168.340698
98.237793,51.623913,159.722214
44.648449,16.59634,3.071005
50.9426,41.862476,70.727386
45.16473,95.653954,44.176346
4.917504,65.186188,3.939472
105.623764,50.926098,73.408463
4.613351,16.629131,85.157158
98.950226,41.767994,5.31821
63.146469,60.937099,38.383415
13.445006,45.51704,48.687271
145.694107,16.984093,141.408188
213.888718,14.491733,69.252495
60.915413,8.458549,64.073158
63.833454,34.724907,29.471407
32.787968,36.946808,118.974586
272.292786,68.490219,121.743164
61.011276,31.880985,74.845551
42.239193,107.088463,183.182053
54.605656,60.728916,112.853661
11.052622,43.079586,57.763775
74.166115,38.371262,82.960007
57.547161,27.772938,-0.968158
35.178558,19.061327,101.887962
32.322929,67.224518,94.213791
136.955872,42.369129,47.645107
122.635727,98.963417,165.827271
114.699692,41.162472,119.452225
176.102234,75.804703,180.213272
104.373611,32.734245,74.878418
51.692005,42.327774,12.893452
122.975594,34.893059,166.691422
93.194397,67.953163,50.98175
64.11628,12.851233,30.075516
